Da; nakon šest mjeseci rada ovdje;Ja; po šestih mesecih dela tukaj
Imate li radnu dozvolu?;Ali imate delovno dovoljenje?
Imam radnu dozvolu;Imam delovno dovoljenje
Nemam radnu dozvolu;Nimam delovnega dovoljenja
Kad možete poèeti?;Kdaj lahko zaènete?
Plaæam deset dolara po satu;Plaèam deset dolarjev na uro
Plaæam deset eura po satu;Plaèam deset evrov na uro
Plaæat æu vam po tjednu;Plaèal vam bom tedensko
Mjeseèno;Meseèno
Imate slobodne subote i nedjelje;Sobote in nedelje imate proste
Nosit æete uniformu;Nosili boste uniformo

Nudite li zdravstveno osiguranje?;Ali nudite zdravstveno zavarovanje?
