Volim svirati gitaru;Rad igram kitaro
Volim èitati;Rad berem
Volim slušati glazbu;Rad poslušam glasbo
Volim skupljati marke;Rad zbiram znamke
Volim crtati;Rad rišem
Volim igrati dame;Rad igram damo
Volim puštati zmaja;Rad spušèam zmaja
Volim voziti bicikl;Rad se vozim s kolesom
Volim plesati;Rad plešem
Volim se igrati;Rad se igram
Volim pisati pjesme;Rad pišem pesmi
Volim konje;Všeè so mi konji
Ne volim plesti;Ne maram plesti
Ne volim slikati;Ne maram slikati
Ne volim izraðivati modele zrakoplova;Ne maram delati modelov letal
Ne volim pjevati;Ne maram peti
Ne volim igrati šah;Ne maram igrati šaha
Ne volim planinarenje;Ne maram planinarjenja
Ne volim kukce;Ne maram žuželk

Volim fotografirati;Rad fotografiram
