Sunüati se;Sonüiti se,
Disalica;Maska za potapljanje,
Ronjenje s disalicom;Potapljanje z masko,
Je li plaßa pjeÁüana?;Je plaßa peÁüena?,
Je li to sigurno za djecu?;Ali je varno za otroke?,
Moßemo li plivati ??ovdje?;Ali lahko plavamo tukaj?,
Je li ovdje sigurno plivati?;Je tukaj varno plavati?,
Ima li opasnih podvodnih struja?;Je pod povrÁjem nevaren tok?,
Kada je plima?;Kdaj je plima?,
Kada je oseka?;Kdaj je oseka?,
Ima li jakih struja?;Je tukaj moüan tok?,
Idem u Áetnju;Grem na sprehod,
Moßemo li sigurno roniti ovdje?;Se lahko tukaj potapljamo brez nevarnosti?,
Kako da do–em do otoka?;Kako pridem na otok?,
Postoji li brod koji nas moße tamo odvesti?;Ali obstaja üoln, ki nas lahko pelje tja?
;,
