Gdje je kabina za probu?;Kje je garderoba?
Large;Large
Medium;Medium
Small;Small
Nosim velièinu L;Nosim številko large
Imate li veæu velièinu?;Ali imate veèjo številko?
Imate li manju velièinu?;Ali imate manjšo številko?
Ovo je preusko;To je preozko
Dobro mi stoji;Dobro mi pristaja
Sviða mi se ova košulja;Všeè mi je ta srajca
Imate li kišne ogrtaèe?;Ali prodajate dežne plašèe?
Možete li mi pokazati košulje?;Bi mi pokazali nekaj srajc?
Boja mi ne odgovara;Barva mi ne ustreza
Imate li u drugoj boji?;Imate drugo barvo?
Gdje mogu pronaæi kupaæi kostim?;Kje najdem kopalke?
Možete li mi pokazati sat?;Mi pokažete uro?

Mogu li probati?;Ali lahko to pomerim?
