Ulaz;Vhod
Gdje je kupaonica?;Kje je stranišèe?
Gdje je autobusna stanica?;Kje je avtobusno postajališèe?
Koja je sljedeæa stanica?;Kaj je naslednja postaja?
Je li ovo moja stanica?;Je to moja postaja?
Isprièavam se; moram siæi ovdje;Oprostite; tukaj moram izstopiti
Gdje je muzej?;Kje je muzej?
Plaæa li se ulaznica?;Ali je treba plaèati za vstop?
Gdje mogu naæi ljekarnu?;Kje najdem lekarno?
Gdje je tu dobar restoran?;Kje je kakšna dobra restavracija?
Ima li ljekarna u blizini?;Je lekarna v bližini?
Prodajete li èasopise na engleskom?;Ali prodajate revije v anglešèini?
U koliko sati poèinje film?;Kdaj se zaène film?
Molim vas èetiri ulaznice;Štiri karte; prosim
Je li film na engleskom jeziku?;Je film v anglešèini?

Izlaz;Izhod
