Prekjuèer;Predvèerajšnjim
Prekosutra;Pojutrišnjem
Sljedeæi tjedan;Naslednji teden
Prošli tjedan;Prejšnji teden
Sljedeæi mjesec;Naslednji mesec
Prošli mjesec;Prejšnji mesec
Sljedeæa godina;Naslednje leto
Prošla godina;Lansko leto
Koji dan?;Kateri dan?
Koji mjesec?;Kateri mesec?
Koji je dan danas?;Kateri dan je danes?
Danas je 21. studenog;Danes je 21ti november
Probudi me u osam;Zbudite me ob osmih
Kada imate sastanak?;Kdaj imate sestanek?
Možemo li razgovarati o tome sutra?;Lahko govoriva o tem jutri?

Sutra ujutro;Jutri zjutraj
