Ja sam bolesna;Bolan sem
Boli me želudac;Boli me trebuh
Imam glavobolju;Boli me glava
Muka mi je;Slabo mi je
Imam alergiju;Alergijo imam
Imam proljev;Drisko imam
Imam vrtoglavicu;Vrti se mi v glavi
Imam migrenu;Migreno imam
Imam temperaturu od juèer;Že od vèeraj imam vroèino
Trebam lijek protiv bolova;Rabim zdravila proti boleèinam
Nemam visok krvni tlak;Nimam visokega krvnega pritiska
Trudna sam;Noseèa sem
Imam osip;Izpušèaj imam
Je li to ozbiljno?;Je resno?

Ne osjeæam se dobro;Ne poèutim se dobro
