Carinarnica;Carinski urad
Putovnica;Potni list
Imigracija;Priseljevanje
Viza;Viza
Kamo idete?;Kam ste namenjeni?
Identifikacijski dokument;Identifikacijski dokument
Izvolite moju putovnicu;Tu je moj potni list
Imate li što za prijaviti?;Ali imate kaj za prijaviti?
Da; imam nešto za prijaviti;Ja; nekaj imam za prijaviti
Ne; nemam ništa za prijaviti;Ne; niè nimam za prijaviti
Ovdje sam poslovno;Tukaj sem poslovno
Ovdje sam na odmoru;Tukaj sem na poèitnicah
Bit æu ovdje tjedan dana;Tukaj bom en teden

Gdje je carina?;Kje je carina?
