Odjeljak za prtljagu;Prtljažni prostor
Sklopivi stoliæ;Mizica
Prolaz;Prehod
Red;Vrsta
Sjedalo;Sedež
Slušalice;Slušalke
Sigurnosni pojas;Varnostni pas
Nadmorska visina;Višina
Izlaz u sluèaju nužde;Zasilni izhod
Prsluk za spašavanje;Rešilni jopiè
Krilo;Krilo
Rep;Rep
Polijetanje;Vzlet
Slijetanje;Pristanek
Uzletno-slijetna staza;Vzletno-pristajalna steza
Vežite sigurnosni pojas;Pripnite si varnostni pas
Mogu li dobiti pokrivaè?;Lahko dobim odejo?
U koliko sati slijeæemo?;Kdaj bomo pristali?

Ruèna prtljaga;Roèna prtljaga
