Upoznavanje nekoga;v1;19;icon_v1
Molim i hvala;v2;17;icon_v2
Proslave i zabave;v3;19;icon_v3
Mir na zemlji;v4;15;icon_v4
Osje†aji i emocije;v5;18;icon_v5
Dani u tjednu;v6;11;icon_v6
Mjeseci u godini;v7;15;icon_v7
Brojevi 1 do 10;v8;18;icon_v8
Brojevi 11 do 20;v9;10;icon_v9
Brojevi 21 do 30;v10;10;icon_v10
Brojevi 10 do 100;v11;10;icon_v11
Brojevi 100 do 1000;v12;10;icon_v12
Brojevi 1000 do 10000;v13;10;icon_v13
ækolski pribor;v14;12;icon_v14
UŸionica;v15;12;icon_v15
ækolski predmeti;v16;11;icon_v16
Boje;v17;15;icon_v17
Geografija;v18;19;icon_v18
Astronomija;v19;9;icon_v19
SunŸev sustav;v20;11;icon_v20
Godiçnja doba i vrijeme;v21;23;icon_v21
Sportovi;v22;11;icon_v22
Rekreacija;v23;13;icon_v23
Glazbeni instrumenti;v24;12;icon_v24
U bazenu;v25;10;icon_v25
Na pla§i;v26;15;icon_v26
Aktivnosti na pla§i;v27;15;icon_v27
¦ivotinje oceana i ribe;v28;15;icon_v28
Doma†e §ivotinje;v29;20;icon_v29
Divlje §ivotinje;v30;18;icon_v30
Insekti;v31;14;icon_v31
Vrste ptica;v32;19;icon_v32
U zooloçkom vrtu;v33;10;icon_v33
¬lanovi obitelji;v34;17;icon_v34
¬lanovi çire obitelji;v35;18;icon_v35
Prijatelji;v36;17;icon_v36
Obiteljski odnosi;v37;10;icon_v37
Odje†a;v38;15;icon_v38
Odje†a za van;v39;13;icon_v39
Rublje;v40;9;icon_v40
Predmeti za bebe;v41;15;icon_v41
Nakit;v42;12;icon_v42
æminka i proizvodi za ljepotu;v43;13;icon_v43
Toaletni proizvodi;v44;13;icon_v44
Prostorije u ku†i;v45;12;icon_v45
Dijelovi ku†e;v46;13;icon_v46
Namjeçtaj;v47;13;icon_v47
Ku†anski predmeti;v48;13;icon_v48
Pribor za kupaonicu;v49;11;icon_v49
Kuhinjski ureÐaji i pribor;v50;17;icon_v50
Postavljanje stola;v51;16;icon_v51
Jela;v52;9;icon_v52
Mjesta u gradu;v53;20;icon_v53
Trgovine u gradu;v54;16;icon_v54
Stvari na ulici;v55;14;icon_v55
Kupovina;v56;13;icon_v56
Kupovina odje†e;v57;17;icon_v57
Pregovaranje cijene;v58;11;icon_v58
Prehrambena trgovina;v59;14;icon_v59
Popis za kupovinu namirnica;v60;21;icon_v60
Voce;v61;13;icon_v61
Slatko vo†e;v62;14;icon_v62
Povr†e;v63;14;icon_v63
Zdravo povr†e;v64;14;icon_v64
Bilje i zaŸini;v65;17;icon_v65
MlijeŸni proizvodi;v66;10;icon_v66
Meso u mesnici;v67;13;icon_v67
Tr§nica morskih plodova;v68;20;icon_v68
Pekara;v69;9;icon_v69
Pi†a;v70;9;icon_v70
U restoranu;v71;16;icon_v71
Jelovnik;v72;14;icon_v72
Priprema hrane;v73;14;icon_v73
Dijetalne restrikcije;v74;9;icon_v74
Kakva je hrana?;v75;13;icon_v75
Pla†anje raŸuna;v76;12;icon_v76
Prijevoz;v77;19;icon_v77
Upute;v78;12;icon_v78
Pitati za upute;v79;11;icon_v79
Davati upute;v80;12;icon_v80
Obilazak grada;v81;16;icon_v81
Vremenski izrazi;v82;10;icon_v82
Vremenski rjeŸnik;v83;15;icon_v83
Vrijeme i datum;v84;16;icon_v84
Dijelovi tijela;v85;19;icon_v85
Anatomija;v86;22;icon_v86
Organi;v87;17;icon_v87
Medicinske potrepçtine;v88;13;icon_v88
Ured lijeŸnika;v89;12;icon_v89
Doktor: Bolestan sam;v90;15;icon_v90
Doktor: OzlijeÐen sam;v91;13;icon_v91
Doktor: PrehlaÐen sam;v92;11;icon_v92
ZraŸna luka i odlazak;v93;20;icon_v93
Imigracija i carina;v94;14;icon_v94
Putovanje avionom;v95;19;icon_v95
Dolazak i prtljaga;v96;18;icon_v96
Rezervacije hotela;v97;15;icon_v97
Iznajmljivanje sobe ili Airbnb;v98;15;icon_v98
Odjava iz hotela;v99;14;icon_v99
Izrazi za nu§du;v100;17;icon_v100
Zanimanja;v101;17;icon_v101
Profesije;v102;15;icon_v102
Uredska oprema;v103;10;icon_v103
Uredski pribor;v104;9;icon_v104
Prijava za posao;v105;12;icon_v105
Razgovor za posao;v106;12;icon_v106
Internetski izrazi;v107;15;icon_v107
Kretanje internetom;v108;12;icon_v108
Web stranica;v109;10;icon_v109
Dijelovi racunala;v110;10;icon_v110
Izrazi za e-postu;v111;16;icon_v111
Online kupovina;v112;13;icon_v112
Korisne rijeci;v113;20;icon_v113
Pridjevi;v114;14;icon_v114
Antonimi;v115;14;icon_v115
Osobne zamjenice;v116;7;icon_v116
Posvojne zamjenice;v117;10;icon_v117
Pitanja;v118;9;icon_v118
NeodreÐene zamjenice i povezivanje rijeŸi;v119;10;icon_v119
Prijedlozi;v120;14;icon_v120
UobiŸajeni prijedlozi;v121;11;icon_v121
Veznici;v122;12;icon_v122
Stvari koje §elim i ne §elim;v123;13;icon_v123
Stvari koje volim i ne volim;v124;20;icon_v124
Stvari koje trebam i ne trebam;v125;12;icon_v125
